Account,Dependency 1,Fraction 1,Building,Parallelism,Hours run0_unit0,Hours run0_unit1,Hours run0_unit2,Hours run0_unit3,Hours run0_unit4,Hours run0_unit5,Hours run0_unit6,Hours run0_unit7,Hours run0_unit8,Hours run0_unit9,Hours run0_unit10,Hours run0_unit11,Hours run0_unit12,Hours run0_unit13,Hours run0_unit14,Hours run0_unit15,Hours run0_unit16,Hours run0_unit17,Hours run0_unit18,Hours run0_unit19
A.211.,None,0,A.211.,1,184293.5699,160151.1122,147522.6873,139171.3165,133020.4732,128197.2153,124255.9093,120939.8741,118088.4569,115594.7912,113384.3903,111403.3801,109611.6061,107978.3852,106479.774,105096.7506,103813.9665,102618.869,101501.0683,101361.4634
A.212.13,A.211.,0.5,A.212.,1,28910.70488,25123.40254,23142.34229,21832.2368,20867.3349,20110.69545,19492.41054,18972.21378,18524.90311,18133.71403,17786.96158,17476.19435,17195.1132,16938.90476,16703.81296,16486.85378,16285.61946,16098.1408,15922.78793,15900.88768
A.212.140,A.212.141,0.5,A.212.,3,108452.3601,94245.10095,86813.5748,81898.99273,78279.36846,75440.9965,73121.63216,71170.22468,69492.23383,68024.77119,66724.00313,65558.22596,64503.80981,63542.69835,62660.80149,61846.92525,61092.03751,60388.7512,59730.9522,59648.79807
A.212.141,A.212.13,0.9,A.212.,3,178393.6611,155024.0915,142799.9485,134715.9355,128762.0031,124093.1553,120278.0249,117068.148,114308.015,111894.1807,109754.5428,107836.9519,106102.5392,104521.6036,103070.9684,101732.2206,100490.5031,99333.66506,98251.64923,98116.51362
A.212.142,A.212.141,0.5,A.212.,3,8045.904657,6991.891147,6440.558278,6075.953407,5807.419355,5596.845143,5424.775266,5280.003511,5155.516091,5046.647419,4950.145547,4863.65843,4785.433006,4714.129706,4648.703209,4588.323051,4532.319154,4480.143483,4431.342443,4425.247562
A.212.149,A.212.141,0.9,A.212.,3,97997.50606,85159.83277,78444.70892,74003.89467,70733.20374,68168.45205,66072.67543,64309.38447,62793.15266,61467.15405,60291.78059,59238.38483,58285.61486,57417.15495,56620.27333,55884.85511,55202.73887,54567.24966,53972.86277,53898.62833
A.212.15,A.212.141,1,A.212.,3,944145.3798,820462.335,755766.2687,712981.7691,681470.6842,656760.8875,636569.3755,619581.1574,604973.2013,592198.0246,580874.028,570725.2112,561545.8616,553178.7873,545501.3256,538416.0257,531844.2575,525721.7119,519995.1618,519279.9589
A.212.21,A.212.141,1,A.212.,3,2771.05004,2408.042485,2218.160671,2092.58892,2000.104441,1927.581623,1868.319892,1818.459771,1775.585678,1738.090759,1704.855029,1675.068431,1648.127201,1623.569986,1601.036771,1580.241541,1560.953517,1542.983954,1526.17663,1524.077522
A.212.22,A.212.141,1,A.212.,3,283.6135366,246.4601633,227.025995,214.1738819,204.7082102,197.2855897,191.2202249,186.1171034,181.7289931,177.8914346,174.4897988,171.4411774,168.683776,166.1703755,163.8641289,161.7357628,159.7616575,157.922495,156.2022862,155.9874451
A.212.23,A.212.141,1,A.212.,3,16221.46119,14096.44978,12984.89985,12249.81486,11708.41959,11283.87797,10936.96548,10645.08911,10394.10828,10174.61662,9980.057844,9805.689955,9647.978582,9504.222998,9372.31572,9250.582437,9137.672195,9032.480094,8934.091633,8921.803656
A.212.24,A.212.141,1,A.212.,3,9081.156497,7891.524996,7269.253134,6857.735221,6554.649384,6316.980974,6122.771179,5959.371907,5818.866919,5695.990314,5587.071722,5489.456466,5401.16592,5320.688155,5246.84335,5178.694187,5115.484372,5056.595353,5001.515172,4994.636073
A.212.25,A.212.141,1,A.212.,3,2207.230309,1918.083139,1766.836179,1666.814247,1593.147391,1535.380639,1488.176768,1448.461581,1414.310989,1384.445083,1357.971757,1334.245775,1312.786221,1293.225611,1275.277182,1258.713114,1243.349584,1229.03625,1215.648677,1213.97667
A.219.,A.212.141,1,A.212.,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A.212.3,A.212.141,1,A.212.,3,237052.8339,205998.9127,189755.2428,179013.0551,171101.3583,164897.306,159827.6893,155562.3449,151894.6286,148687.0804,145843.8896,143295.7589,140991.0388,138890.262,136962.6309,135183.6777,133533.6603,131996.4323,130558.6294,130379.0587
A.213.13,A.211.,0.9,A.213.,1,9210.222272,8003.683154,7372.567265,6955.200661,6647.807221,6406.760953,6209.790956,6044.069374,5901.567462,5776.944475,5666.47788,5567.475268,5477.929895,5396.308341,5321.414018,5252.296286,5188.188102,5128.462124,5072.599118,5065.622249
A.213.141,A.213.13,0.9,A.213.,1,3393.968836,2949.358918,2716.792581,2562.9929,2449.718353,2360.892753,2288.309268,2227.24083,2174.728846,2128.805249,2088.098285,2051.615802,2018.618313,1988.540753,1960.94218,1935.472281,1911.848402,1889.839367,1869.253837,1866.68286
A.213.142,A.213.141,0.5,A.213.,1,8535.868737,7417.669933,6832.763051,6445.955171,6161.068447,5937.671091,5755.122832,5601.535044,5469.466829,5353.968481,5251.590022,5159.836178,5076.847133,5001.201741,4931.791026,4867.733953,4808.319638,4752.966674,4701.193842,4694.727805
A.213.143,A.213.141,0.9,A.213.,1,4275.34834,3715.277707,3422.316236,3228.576328,3085.885522,2973.992809,2882.560124,2805.632829,2739.484011,2681.634519,2630.356367,2584.399751,2542.833147,2504.944748,2470.179103,2438.094928,2408.336165,2380.611605,2354.680221,2351.441587
A.213.144,A.213.141,0.9,A.213.,1,567.8267237,493.4414229,454.5319963,428.8005965,409.8492396,394.9883048,382.8447511,372.6277184,363.8422198,356.1589892,349.3485254,343.2448368,337.7242039,332.6920887,328.0747194,323.8134872,319.8611027,316.178889,312.7348345,312.304698
A.213.145,A.213.141,0.9,A.213.,1,250.9822802,218.1036015,200.9054384,189.5320297,181.1554342,174.586826,169.2193139,164.7033338,160.8200991,157.4240723,154.413813,151.7159518,149.2758042,147.0515838,145.0106832,143.1271971,141.3802232,139.7526661,138.2303766,138.0402541
A.213.146,A.213.141,0.9,A.213.,1,257.4085298,223.6880124,206.0495007,194.3848828,185.7938096,179.0570161,173.5520722,168.9204631,164.9378005,161.4548206,158.3674853,155.600547,153.0979209,150.8167507,148.7235941,146.7918825,145.0001783,143.3309487,141.7696818,141.5746914
A.213.147,A.213.146,0.9,A.213.,1,337.407063,293.2067377,270.0864533,254.7966551,243.5356112,234.7051279,227.4893337,221.4182933,216.1978816,211.6324461,207.5856155,203.9587562,200.6783531,197.688231,194.9445542,192.4124969,190.0639592,187.8759591,185.8294751,185.5738847
A.213.149,A.213.143,0.9,A.213.,1,4987.593184,4334.218477,3992.451556,3766.435856,3599.973704,3469.440402,3362.775634,3273.032759,3195.863984,3128.377149,3068.556395,3014.943709,2966.452383,2922.252026,2881.694654,2844.265468,2809.549091,2777.205802,2746.95442,2743.176251
A.213.21,A.213.141,1,A.213.,1,2034.032108,1767.573902,1628.195074,1536.021721,1468.135398,1414.90152,1371.401668,1334.802875,1303.332032,1275.809661,1251.413658,1229.549421,1209.773767,1191.74805,1175.208008,1159.943699,1145.785723,1132.595536,1120.258466,1118.71766
A.213.22,A.213.141,1,A.213.,1,7040.734065,6118.397903,5635.942756,5316.887778,5081.901542,4897.634255,4747.060975,4620.375479,4511.440207,4416.17244,4331.726495,4256.044167,4187.591405,4125.195988,4067.943188,4015.106291,3966.098931,3920.44154,3877.737187,3872.403736
A.213.24,A.213.141,1,A.213.,1,757.0839113,657.9059189,606.0279433,571.7202435,546.4523813,526.6382828,510.4472711,496.8248916,485.1111781,474.8671193,465.7867215,457.6486677,450.2880026,443.5786786,437.4223357,431.7408308,426.4711127,421.5616138,416.9696525,416.3961512
A.213.25,A.213.141,1,A.213.,1,1766.679294,1535.244306,1414.185407,1334.127302,1275.163945,1228.927119,1191.14488,1159.356626,1132.022304,1108.117468,1086.928072,1067.937666,1050.761321,1035.104901,1020.738879,1007.480908,995.1838536,983.7273822,973.0118952,971.6736117
A.214.,A.211.,0.9,A.214.,1,62706.00001,54491.51401,50194.6847,47353.12567,45260.29746,43619.18101,42278.14924,41149.86621,40179.66976,39331.19849,38579.10825,37905.0683,37295.41611,36739.71169,36229.80832,35759.23374,35322.76568,34916.13302,34535.80065,34488.30001
A.215.13,A.211.,0.5,A.215.,1,32160.12733,27947.15065,25743.42887,24286.07391,23212.72173,22371.03969,21683.26257,21104.59823,20607.01201,20171.85519,19786.12945,19440.43349,19127.76019,18842.75517,18581.24021,18339.89586,18116.04379,17907.49344,17712.43176,17688.07003
A.215.141,A.215.13,0.9,A.215.,2,490376.1809,426136.9012,392534.6503,370312.9671,353946.5412,341112.6111,330625.4163,321801.9684,314214.7961,307579.5443,301698.0155,296426.8591,291659.2306,287313.4868,283325.9183,279645.9106,276232.6242,273052.6578,270078.3661,269706.8995
A.215.142,A.215.141,0.5,A.215.,2,46997.27618,40840.633,37620.21911,35490.51008,33921.9644,32691.97041,31686.88572,30841.25326,30114.1045,29478.18706,28914.50587,28409.32228,27952.39643,27535.90369,27153.73819,26801.04908,26473.92234,26169.15681,25884.10297,25848.5019
A.215.145,A.215.141,0.9,A.215.,2,1405.658902,1221.517586,1125.197037,1061.498782,1014.58457,977.7962247,947.7347754,922.4424416,900.6938805,881.6739909,864.8146417,849.7049193,836.0385552,823.5815198,812.1511907,801.6024817,791.818327,782.7029821,774.1772017,773.112396
A.215.146,A.215.141,0.9,A.215.,2,5741.748675,4989.579598,4596.135367,4335.944671,4144.312393,3994.041634,3871.248482,3767.935919,3679.09874,3601.40747,3532.541441,3470.82218,3414.99866,3364.114931,3317.425029,3274.336314,3234.370603,3197.136805,3162.311224,3157.961771
A.215.147,A.215.146,0.9,A.215.,2,1967.080565,1709.393011,1574.601932,1485.462526,1419.810728,1368.329079,1326.261054,1290.866935,1260.431976,1233.815522,1210.222531,1189.077969,1169.953245,1152.520856,1136.525242,1121.763367,1108.07141,1095.315387,1083.384401,1081.894311
A.215.149,A.215.141,0.9,A.215.,2,13333.71534,11586.99863,10673.32691,10069.10181,9624.085769,9275.121083,8989.96598,8750.04947,8543.748267,8363.330533,8203.407125,8060.080221,7930.44464,7812.280437,7703.855303,7603.792989,7510.983038,7424.517244,7343.643904,7333.543434
A.215.21,A.215.141,1,A.215.,2,36959.84888,32118.10868,29585.49359,27910.63644,26677.09237,25709.79393,24919.36986,24254.34307,23682.49485,23182.39327,22739.10009,22341.81092,21982.47286,21654.93241,21354.38778,21077.02412,20819.76336,20580.08803,20355.91447,20327.91688
A.215.221,A.215.141,1,A.215.,2,1380.257119,1199.443436,1104.863504,1042.316346,996.2499243,960.1263849,930.6081786,905.7729047,884.4173638,865.7411842,849.1865018,834.3498285,820.9304304,808.6985072,797.4747366,787.1166542,777.5093098,768.5586891,760.1869788,759.1414153
A.215.222,A.215.141,1,A.215.,2,1369.417403,1190.023723,1096.186565,1034.130616,988.425972,952.5861253,923.2997374,898.6595049,877.4716776,858.9421697,842.5174978,827.7973429,814.4833327,802.3474718,791.2118459,780.9351098,771.4032157,762.5228878,754.2169239,753.1795717
A.215.223,A.215.141,1,A.215.,2,122.8501101,106.7567456,98.33863648,92.77161196,88.67145924,85.4562751,82.82900019,80.61853079,78.71777584,77.05549808,75.58204467,74.26150306,73.06710637,71.97840117,70.97942682,70.05750326,69.2023993,68.4057472,67.66062115,67.56756053
A.215.224,A.215.141,1,A.215.,2,379.3900458,329.6899498,303.692848,286.5005664,273.83833,263.9090849,255.7954418,248.9689922,243.0990136,237.9655088,233.415138,229.3369948,225.6484168,222.2862389,219.2011711,216.3540542,213.713292,211.2530429,208.9519183,208.6645252
A.215.225,A.215.141,1,A.215.,2,120117.3823,104382.0052,96151.15189,90707.96252,86699.01526,83555.35099,80986.51825,78825.21943,76966.74564,75341.44427,73900.76695,72609.60001,71441.77197,70377.28436,69400.5316,68499.11568,67663.03301,66884.10196,66155.5508,66064.56025
A.215.226,A.215.141,1,A.215.,2,2626.318375,2282.270668,2102.306362,1983.29321,1895.639187,1826.904228,1770.737731,1723.4818,1682.847016,1647.310453,1615.810622,1587.579775,1562.045683,1538.771088,1517.414781,1497.705684,1479.425072,1462.394057,1446.464578,1444.475106
A.215.227,A.215.141,1,A.215.,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A.215.228,A.215.141,1,A.215.,2,72.26477061,62.79808566,57.84625675,54.57153644,52.1596819,50.26839711,48.72294128,47.42266517,46.30457402,45.32676357,44.46002627,43.68323709,42.9806508,42.34023598,41.75260401,41.21029603,40.7072937,40.23867482,39.80036538,39.74562384
A.215.23,A.215.141,1,A.215.,2,1593.438192,1384.697789,1275.509961,1203.302379,1150.120986,1108.418156,1074.340855,1045.669767,1021.015857,999.4551368,980.3435793,963.2153779,947.7233502,933.6022033,920.6449184,908.6870275,897.5958262,887.2627798,877.5980566,876.3910056
A.215.24,A.215.141,1,A.215.,2,31898.60374,27719.88665,25534.08537,24088.5815,23023.95773,22189.12018,21506.93601,20932.97732,20439.43744,20007.81927,19625.23022,19282.34544,18972.21477,18689.52739,18430.13904,18190.75729,17968.72557,17761.87113,17568.39568,17544.23206
A.215.25,A.215.141,1,A.215.,2,3031.701546,2634.548643,2426.806098,2289.422771,2188.238984,2108.894499,2044.05847,1989.508388,1942.601456,1901.579677,1865.217716,1832.62932,1803.153935,1776.28681,1751.634068,1728.882789,1707.780488,1688.120666,1669.732405,1667.43585
A.216.13,A.211.,0.9,A.216.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A.216.141,A.216.13,0.9,A.216.,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A.216.142,A.216.141,0.5,A.216.,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A.216.143,A.216.141,0.9,A.216.,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A.216.144,A.216.141,0.9,A.216.,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A.216.145,A.216.141,0.9,A.216.,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A.216.146,A.216.141,0.9,A.216.,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A.216.147,A.216.146,0.9,A.216.,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A.216.148,A.216.141,0.9,A.216.,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A.216.149,A.216.141,0.9,A.216.,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A.216.21,A.216.141,1,A.216.,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A.216.22,A.216.141,1,A.216.,2,10291.19766,8943.050766,8237.862751,7771.511116,7428.039856,7158.702731,6938.614972,6753.44316,6594.216237,6454.966635,6331.534916,6220.912673,6120.857635,6029.656411,5945.971972,5868.742106,5797.109742,5730.37391,5667.954434,5660.158713
A.216.24,A.216.141,1,A.216.,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A.216.25,A.216.141,1,A.216.,2,3136.650473,2725.749261,2510.815257,2368.676108,2263.989625,2181.898458,2114.817989,2058.379538,2009.848821,1967.406984,1929.786274,1896.06976,1865.574021,1837.776832,1812.270682,1788.731818,1766.899015,1746.558625,1727.533815,1725.15776
A.217.13,A.211.,0.9,A.215.,1,13663.91262,11873.94007,10937.6421,10318.45392,9862.417465,9504.810988,9212.594279,8966.736455,8755.326391,8570.440777,8406.557012,8259.680748,8126.83486,8005.744429,7894.634246,7792.09398,7696.985675,7608.378634,7525.50254,7515.151941
A.217.141,A.217.13,0.9,A.215.,1,80822.94421,70235.13852,64696.87431,61034.33537,58336.84968,56221.58378,54493.10268,53038.83744,51788.33297,50694.72237,49725.33909,48856.5563,48070.76412,47354.50623,46697.28217,46090.74973,45528.17784,45004.06135,44513.84379,44452.61931
A.217.142,A.217.141,0.5,A.215.,1,3840.07427,3337.02454,3073.889535,2899.874325,2771.7109,2671.210006,2589.086101,2519.990789,2460.576595,2408.616772,2362.559259,2321.281495,2283.946795,2249.915822,2218.689674,2189.871995,2163.142978,2138.241061,2114.949757,2112.040848
A.217.145,A.217.141,0.9,A.215.,1,535.0784806,464.9831997,428.3177945,404.0704005,386.2120243,372.2081634,360.7649644,351.137178,342.8583652,335.6182491,329.2005649,323.448894,318.2466523,313.504754,309.153682,305.1382077,301.4137688,297.9439193,294.6984935,294.2931643
A.217.147,A.217.145,0.9,A.215.,1,146.4028315,127.2240606,117.1920385,110.5577086,105.671478,101.8398815,98.70890758,96.07464882,93.80948269,91.82851442,90.07257174,88.49885699,87.07547156,85.77804069,84.5875438,83.48886982,82.46982604,81.52044046,80.63245946,80.52155733
A.217.149,A.217.141,0.9,A.215.,1,1345.411904,1169.162944,1076.970725,1016.002599,971.0991446,935.8875603,907.1145544,882.9062583,862.0898476,843.8851567,827.7484047,813.2862899,800.2056705,788.2825478,777.3421263,767.2455384,757.8807357,749.1560775,740.9957148,739.9765471
A.217.21,A.217.141,1,A.215.,1,2040.039456,1772.794287,1633.003815,1540.558235,1472.471415,1419.080316,1375.451991,1338.745107,1307.181316,1279.57766,1255.109606,1233.180794,1213.346735,1195.26778,1178.678889,1163.369498,1149.169707,1135.940564,1123.567058,1122.021701
A.217.22,A.217.141,1,A.215.,1,5008.760029,4352.612466,4009.39512,3782.420233,3615.251631,3484.164359,3377.046917,3286.923182,3209.426911,3141.653668,3081.579041,3027.738828,2979.04171,2934.653771,2893.924277,2856.336245,2821.472536,2788.991986,2758.61222,2754.818016
A.217.23,A.217.141,1,A.215.,1,582.6132091,506.2908787,466.3682316,439.9667736,420.5219141,405.2739933,392.8142156,382.3311263,373.3168491,365.4335433,358.4457318,352.1831002,346.5187073,341.3555533,336.6179454,332.2457487,328.1904422,324.4123419,320.8786024,320.437265
A.217.24,A.217.141,1,A.215.,1,1680.032493,1459.948236,1344.826671,1268.695017,1212.623519,1168.654378,1132.725169,1102.49597,1076.50226,1053.769838,1033.619676,1015.560654,999.2267228,984.3381719,970.6767322,958.068998,946.375053,935.4804644,925.2905185,924.0178711
A.217.3,A.217.142,1,A.215.,1,28367.17763,24651.07736,22707.26146,21421.78623,20475.02468,19732.6102,19125.94918,18615.53223,18176.63109,17792.79644,17452.56301,17147.63827,16871.8415,16620.44984,16389.77782,16176.89751,15979.44644,15795.49242,15623.43622,15601.9477
A.218A.13,A.211.,0.9,A.218A.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A.218A.141,A.218A.13,0.9,A.218A.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A.218A.142,A.218A.141,0.5,A.218A.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A.218A.145,A.218A.141,0.9,A.218A.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A.218A.146,A.218A.141,0.9,A.218A.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A.218A.147,A.218A.146,0.9,A.218A.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A.218A.148,A.218A.141,0.9,A.218A.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A.218A.149,A.218A.141,0.9,A.218A.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A.218A.21,A.218A.141,1,A.218A.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A.218A.231,A.218A.141,1,A.218A.,1,464.4929244,403.6443513,371.8157095,350.7669412,335.2643753,323.1078516,313.1741966,304.8164719,297.6297692,291.3447422,285.7736549,280.780723,276.2647416,272.1483769,268.371282,264.8855141,261.6523893,258.6402694,255.8229681,255.4711084
A.218A.232,A.218A.141,1,A.218A.,1,786.378372,683.3628052,629.4774732,593.8422777,567.5967057,547.0159242,530.1984206,516.0489394,503.8819776,493.2415372,483.8097842,475.3568381,467.7113608,460.7424275,454.3478722,448.4465283,442.9729047,437.8734386,433.1037968,432.5081046
A.218A.233,A.218A.141,1,A.218A.,1,32.59599468,28.32591938,26.09233048,24.61522394,23.52732458,22.67423519,21.9771366,21.3906296,20.88629958,20.44524506,20.05429157,19.70391038,19.38699941,19.0981317,18.83307242,18.58845712,18.36157117,18.15019434,17.95248898,17.92779707
A.218A.234,A.218A.141,1,A.218A.,1,305.5874501,265.5554942,244.6155983,230.7677244,220.5686679,212.5709549,206.0356556,200.5371525,195.8090586,191.6741724,188.0089834,184.7241598,181.7531194,179.0449847,176.5600539,174.2667856,172.1397298,170.1580719,168.3045842,168.0730976
A.218A.235,A.218A.141,1,A.218A.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A.218A.236,A.218A.141,1,A.218A.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A.218A.237,A.218A.141,1,A.218A.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A.218A.238,A.218A.141,1,A.218A.,1,264.8424569,230.148095,212.0001852,199.9986946,191.1595123,184.228161,178.5642349,173.7988656,169.7011842,166.1176161,162.941119,160.0942719,157.5193702,155.1723201,153.0187134,151.0312142,149.1877658,147.470329,145.863973,145.6633513
A.218A.24,A.218A.141,1,A.218A.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A.218B.13,A.211.,0.9,A.218B.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A.218B.141,A.218B.13,0.9,A.218B.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A.218B.142,A.218B.141,0.5,A.218B.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A.218B.143,A.218B.141,0.9,A.218B.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A.218B.144,A.218B.141,0.9,A.218B.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A.218B.145,A.218B.141,0.9,A.218B.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A.218B.146,A.218B.141,0.9,A.218B.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A.218B.147,A.218B.146,0.9,A.218B.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A.218B.148,A.218B.141,0.9,A.218B.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A.218B.149,A.218B.141,0.9,A.218B.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A.218B.21,A.218B.141,1,A.218B.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A.218B.22,A.218B.141,1,A.218B.,1,12651.81414,10994.42649,10127.48097,9554.15662,9131.899203,8800.780964,8530.209014,8302.562103,8106.811376,7935.620408,7783.875662,7647.878658,7524.872786,7412.751633,7309.871483,7214.926468,7126.862922,7044.819085,6968.0817,6958.497779
A.218B.23,A.218B.141,1,A.218B.,1,94.24947681,81.90279535,75.44449927,71.17352916,68.02792963,65.56126987,63.54564867,61.84979684,60.39155508,59.11627084,57.98585091,56.97274351,56.05641334,55.2211687,54.45476475,53.74747345,53.09144555,52.48026137,51.9086075,51.83721225
A.218B.24,A.218B.141,1,A.218B.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A.218B.25,A.218B.141,1,A.218B.,1,878.670915,763.5650251,703.3554928,663.5380068,634.2121484,611.2159232,592.4246495,576.6145279,563.0196024,551.1303569,540.5916553,531.1466373,522.6038559,514.8170204,507.6719743,501.0780248,494.9619947,489.2640345,483.9346084,483.2690033
A.218D.,A.211.,0.9,A.218D,1,15421,13400.849,12344.14941,11645.33778,11130.6581,10727.06583,10397.27202,10119.79853,9881.202554,9672.541892,9487.583774,9321.82021,9171.891233,9035.229386,8909.83118,8794.104924,8686.76633,8586.765019,8493.231616,8481.55
A.218E.13,A.211.,0.9,A.218E.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A.218E.141,A.218E.13,0.9,A.218E.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A.218E.142,A.218E.141,0.5,A.218E.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A.218E.143,A.218E.141,0.9,A.218E.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A.218E.145,A.218E.141,0.9,A.218E.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A.218E.147,A.218B.146,0.9,A.218E.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A.218E.149,A.218E.141,0.9,A.218E.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A.218E.21,A.218E.141,1,A.218E.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A.218E.23,A.218E.141,1,A.218E.,1,391.6347414,340.3305902,313.4944401,295.7472829,282.6763768,272.4266684,264.05116,257.0043889,250.9449586,245.6457715,240.9485389,236.7387749,232.9311491,229.4604581,226.2758206,223.3368139,220.6108219,218.071169,215.6957764,215.3991077
A.218E.24,A.218E.141,1,A.218E.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A.218F.,A.211.,0.9,A.218F.,1,9202.329974,7996.824747,7366.249665,6949.240705,6642.110673,6401.270959,6204.469746,6038.890173,5896.510371,5771.994175,5661.622239,5562.704463,5473.235822,5391.68421,5316.854064,5247.79556,5183.742311,5124.067513,5068.252375,5061.281485
A.218G.,A.211.,0.9,A.218G.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A.218H.,A.211.,0.9,A.218H.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A.218J.13,A.212.141,0.9,A.218J.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A.218J.141,A.218J.13,0.9,A.218J.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
