Account,Dependency 1,Fraction 1,Building,Parallelism
A.211.,None,0,A.211.,1
A.212.13,A.211.,0.5,A.212.,1
A.212.140,A.212.141,0.5,A.212.,3
A.212.141,A.212.13,0.9,A.212.,3
A.212.142,A.212.141,0.5,A.212.,3
A.212.149,A.212.141,0.9,A.212.,3
A.212.15,A.212.141,1,A.212.,3
A.212.21,A.212.141,1,A.212.,3
A.212.22,A.212.141,1,A.212.,3
A.212.23,A.212.141,1,A.212.,3
A.212.24,A.212.141,1,A.212.,3
A.212.25,A.212.141,1,A.212.,3
A.212.3,A.212.141,1,A.212.,3
A.219.,A.212.141,1,A.212.,3
A.213.13,A.211.,0.9,A.213.,1
A.213.141,A.213.13,0.9,A.213.,1
A.213.142,A.213.141,0.5,A.213.,1
A.213.143,A.213.141,0.9,A.213.,1
A.213.144,A.213.141,0.9,A.213.,1
A.213.145,A.213.141,0.9,A.213.,1
A.213.146,A.213.141,0.9,A.213.,1
A.213.147,A.213.146,0.9,A.213.,1
A.213.149,A.213.143,0.9,A.213.,1
A.213.21,A.213.141,1,A.213.,1
A.213.22,A.213.141,1,A.213.,1
A.213.24,A.213.141,1,A.213.,1
A.213.25,A.213.141,1,A.213.,1
A.214.,A.211.,0.9,A.214.,1
A.215.13,A.211.,0.5,A.212.,1
A.215.141,A.212.13,0.9,A.212.,2
A.215.142,A.212.141,0.5,A.212.,2
A.215.145,A.212.141,0.9,A.212.,2
A.215.146,A.212.141,0.9,A.212.,2
A.215.147,A.212.149,0.9,A.212.,2
A.215.149,A.212.141,0.9,A.212.,2
A.215.21,A.212.141,1,A.212.,2
A.215.221,A.212.141,1,A.212.,2
A.215.222,A.212.141,1,A.212.,2
A.215.223,A.212.141,1,A.212.,2
A.215.224,A.212.141,1,A.212.,2
A.215.225,A.212.141,1,A.212.,2
A.215.226,A.212.141,1,A.212.,2
A.215.227,A.212.141,1,A.212.,2
A.215.228,A.212.141,1,A.212.,2
A.215.23,A.212.141,1,A.212.,2
A.215.24,A.212.141,1,A.212.,2
A.215.25,A.212.141,1,A.212.,2
A.216.13,A.211.,0.9,A.216.,1
A.216.141,A.216.13,0.9,A.216.,2
A.216.142,A.216.141,0.5,A.216.,2
A.216.143,A.216.141,0.9,A.216.,2
A.216.144,A.216.141,0.9,A.216.,2
A.216.145,A.216.141,0.9,A.216.,2
A.216.146,A.216.141,0.9,A.216.,2
A.216.147,A.216.146,0.9,A.216.,2
A.216.148,A.216.141,0.9,A.216.,2
A.216.149,A.216.141,0.9,A.216.,2
A.216.21,A.216.141,1,A.216.,2
A.216.22,A.216.141,1,A.216.,2
A.216.24,A.216.141,1,A.216.,2
A.216.25,A.216.141,1,A.216.,2
A.217.13,A.211.,0.9,A.212.,1
A.217.141,A.212.13,0.9,A.212.,1
A.217.142,A.212.141,0.5,A.212.,1
A.217.145,A.212.141,0.9,A.212.,1
A.217.147,A.212.149,0.9,A.212.,1
A.217.149,A.212.141,0.9,A.212.,1
A.217.21,A.212.141,1,A.212.,1
A.217.22,A.212.141,1,A.212.,1
A.217.23,A.212.141,1,A.212.,1
A.217.24,A.212.141,1,A.212.,1
A.217.3,A.212.142,1,A.212.,1
A.218A.13,A.211.,0.9,A.218A.,1
A.218A.141,A.218A.13,0.9,A.218A.,1
A.218A.142,A.218A.141,0.5,A.218A.,1
A.218A.145,A.218A.141,0.9,A.218A.,1
A.218A.146,A.218A.141,0.9,A.218A.,1
A.218A.147,A.218A.146,0.9,A.218A.,1
A.218A.148,A.218A.141,0.9,A.218A.,1
A.218A.149,A.218A.141,0.9,A.218A.,1
A.218A.21,A.218A.141,1,A.218A.,1
A.218A.231,A.218A.141,1,A.218A.,1
A.218A.232,A.218A.141,1,A.218A.,1
A.218A.233,A.218A.141,1,A.218A.,1
A.218A.234,A.218A.141,1,A.218A.,1
A.218A.235,A.218A.141,1,A.218A.,1
A.218A.236,A.218A.141,1,A.218A.,1
A.218A.237,A.218A.141,1,A.218A.,1
A.218A.238,A.218A.141,1,A.218A.,1
A.218A.24,A.218A.141,1,A.218A.,1
A.218B.13,A.211.,0.9,A.218B.,1
A.218B.141,A.218B.13,0.9,A.218B.,1
A.218B.142,A.218B.141,0.5,A.218B.,1
A.218B.143,A.218B.141,0.9,A.218B.,1
A.218B.144,A.218B.141,0.9,A.218B.,1
A.218B.145,A.218B.141,0.9,A.218B.,1
A.218B.146,A.218B.141,0.9,A.218B.,1
A.218B.147,A.218B.146,0.9,A.218B.,1
A.218B.148,A.218B.141,0.9,A.218B.,1
A.218B.149,A.218B.141,0.9,A.218B.,1
A.218B.21,A.218B.141,1,A.218B.,1
A.218B.22,A.218B.141,1,A.218B.,1
A.218B.23,A.218B.141,1,A.218B.,1
A.218B.24,A.218B.141,1,A.218B.,1
A.218B.25,A.218B.141,1,A.218B.,1
A.218D.,A.211.,0.9,A.218D,1
A.218E.13,A.211.,0.9,A.218E.,1
A.218E.141,A.218E.13,0.9,A.218E.,1
A.218E.142,A.218E.141,0.5,A.218E.,1
A.218E.143,A.218E.141,0.9,A.218E.,1
A.218E.145,A.218E.141,0.9,A.218E.,1
A.218E.147,A.218B.146,0.9,A.218E.,1
A.218E.149,A.218E.141,0.9,A.218E.,1
A.218E.21,A.218E.141,1,A.218E.,1
A.218E.23,A.218E.141,1,A.218E.,1
A.218E.24,A.218E.141,1,A.218E.,1
A.218F.,A.211.,0.9,A.218F.,1
A.218G.,A.211.,0.9,A.218G.,1
A.218H.,A.211.,0.9,A.218H.,1
A.218J.13,A.212.141,0.9,A.218J.,1
A.218J.141,A.218J.13,0.9,A.218J.,1
A.218J.142,A.218J.141,0.5,A.218J.,1
A.218J.145,A.218J.141,0.9,A.218J.,1
A.218J.146,A.218J.141,0.9,A.218J.,1
A.218J.147,A.218J.146,0.9,A.218J.,1
A.218J.149,A.218J.141,0.9,A.218J.,1
A.218J.21,A.218J.141,1,A.218J.,1
A.218J.22,A.218J.141,1,A.218J.,1
A.218J.24,A.218J.141,1,A.218J.,1
A.218K.,A.211.,0.9,A.218K.,1
A.218L.,A.211.,0.9,A.218L.,1
A.218P.,A.212.141,0.9,A.218P.,1
A.218S.,A.211.,0.9,A.218S.,1
A.218T.11,A.212.141,0.9,A.218T.,1
A.218T.13,A.218T.11,0.9,A.218T.,1
A.218T.141,A.218T.13,0.9,A.218T.,1
A.218T.142,A.218T.141,0.5,A.218T.,1
A.218T.145,A.218T.141,0.9,A.218T.,1
A.218T.147,A.218T.145,0.9,A.218T.,1
A.218T.149,A.218T.141,0.9,A.218T.,1
A.218T.21,A.218T.141,1,A.218T.,1
A.218T.22,A.218T.141,1,A.218T.,1
A.218T.24,A.218T.141,1,A.218T.,1
A.218V.,A.211.,0.9,A.218V.,1
A.221.1,A.212.141,0.5,A.212.,3
A.221.2,A.221.1,1,A.212.,3
A.221.3,A.221.1,1,A.212.,3
A.222.11,A.221.3,1,A.212.,3
A.222.12,A.221.3,1,A.212.,3
A.222.13,A.221.1,1,A.212.,3
A.222.14,A.221.1,1,A.212.,3
A.223.1,A.221.3,1,A.212.,3
A.223.3,A.221.3,1,A.212.,3
A.223.4,A.212.15,1,A.212.,3
A.223.5,A.212.15,1,A.212.,3
A.224.1,A.221.3,1,A.216.,3
A.224.2,A.221.3,1,A.216.,3
A.224.3,A.221.3,1,A.216.,3
A.225.111,A.212.142,0.5,A.212.,3
A.225.112,A.212.142,0.9,A.212.,3
A.225.113,A.212.142,0.9,A.212.,3
A.225.114,A.212.142,0.5,A.212.,3
A.225.12,A.212.142,0.9,A.212.,3
A.225.13,A.212.142,0.9,A.212.,3
A.225.3,A.212.142,0.9,A.212.,3
A.225.4,A.212.142,0.9,A.212.,3
A.226.1,A.212.142,0.9,A.212.,3
A.226.3,A.212.142,0.9,A.212.,3
A.226.4,A.212.142,0.9,A.212.,3
A.226.6,A.212.142,0.9,A.212.,3
A.226.71,A.212.142,0.9,A.212.,3
A.226.72,A.212.142,0.9,A.212.,3
A.226.8,A.212.142,0.9,A.212.,3
A.226.9,A.212.142,0.9,A.212.,3
A.227.11,A.218A.145,0.9,A.218A.,3
A.227.15,A.218A.145,0.9,A.218A.,3
A.227.16,A.218A.145,0.9,A.212.,3
A.227.17,A.218A.145,0.9,A.218A.,3
A.227.18,A.218A.145,0.9,A.218A.,3
A.227.19,A.218A.145,0.9,A.218A.,3
A.227.2,A.218A.145,0.9,A.218A.,3
A.227.3,A.221.3,0.9,A.218A.,3
A.227.4,A.221.3,0.9,A.218A.,3
A.227.5,A.218A.145,0.9,A.218A.,3
A.227.9,A.218A.145,0.9,A.218A.,3
A.228.1,A.218T.21,0.7,A.211.,3
A.228.2,A.211.,0.5,A.211.,3
A.228.4,A.221.3,1,A.212.,3
A.229.1,A.212.3,1,A.212.,3
A.229.2,A.212.3,1,A.212.,3
A.229.3,A.221.3,1,A.212.,3
A.229.4,A.221.3,1,A.212.,3
A.229.5,A.221.3,1,A.212.,3
A.229.6,A.221.3,1,A.212.,3
A.231.,A.213.21,0.5,A.213.,2
A.233.,A.213.21,0.5,A.213.,2
A.234.,A.213.21,0.5,A.213.,2
A.235.,A.213.21,0.5,A.213.,2
A.236.,A.213.21,0.5,A.213.,2
A.237.,A.213.21,0.5,A.213.,2
A.241.,A.236.,0.5,A.24.,2
A.242.,A.236.,0.5,A.24.,2
A.243.,A.236.,0.5,A.218A.,2
A.244.,A.236.,0.5,A.24.,2
A.245.,A.236.,0.5,A.24.,2
A.246.,A.236.,0.5,A.213.,2
A.251.111,A.213.142,1,A.213.,1
A.251.112,A.213.142,1,A.213.,1
A.251.12,A.212.142,1,A.212.,1
A.251.16,A.212.21,0.7,A.212.,1
A.251.17,A.218A.142,0.9,A.218A.,1
A.252.1,A.212.21,0.7,A.212.,2
A.252.2,A.212.21,0.7,A.212.,2
A.252.3,A.212.21,0.7,A.212.,2
A.252.4,A.212.21,0.7,A.212.,2
A.253.,A.212.21,0.7,A.218B.,2
A.254.,A.212.21,0.7,A.218B.,1
A.255.,A.218S.,1,A.218S.,1
A.261.1,A.211.,1,A.261.1,1
A.261.2,A.211.,1,A.261.2,1
A.261.3,A.211.,1,A.261.3,1
A.262.11,A.211.,1,A.261.1,1
A.262.12,A.211.,1,A.261.2,1
A.262.13,A.211.,1,A.262.13,1
A.262.14,A.211.,1,A.262.13,1
A.262.15,A.211.,1,A.261.3,1
None,None,0,None,1
